id,department,address_type,input_address,fixed_address,address,po_box,city,state,zip_code,geocode_results,latitude,longitude,google_formatted_address
6840,Minier Police Department,Street Address,"110 W CentralP. O. Box 350 Minier, IL 61759","110 W Central P. O. Box 350 Minier, IL 61759",110 W Central,P. O. Box 350,Minier,IL,61759,RANGE_INTERPOLATED,40.43364620000001,-89.3138756,"110 W Central St, Minier, IL 61759, USA"
6841,Minonk Police Department,Street Address,"City Hall, 670 N Chestnut Street  Minonk, IL 61760","City Hall, 670 N Chestnut Street Minonk, IL 61760",670 N Chestnut Street,,Minonk,IL,61760,APPROXIMATE,40.9039617,-89.03408549999999,"670 N Chestnut St, Minonk, IL 61760, USA"
6842,Minooka Police Department,Street Address,"121 E. Mcevilly Road  Minooka, IL 60447","121 E. Mcevilly Road Minooka, IL 60447",121 E. Mcevilly Road,,Minooka,IL,60447,ROOFTOP,41.448664,-88.26067599999999,"121 McEvilly Rd, Minooka, IL 60447, USA"
6843,Mokena Police Department,Street Address,"10907 Front St  Mokena, IL 60448","10907 Front St Mokena, IL 60448",10907 Front St,,Mokena,IL,60448,ROOFTOP,41.5331329,-87.8823895,"10907 Front St, Mokena, IL 60448, USA"
6844,Moline Police Department,Street Address,"1640 6th Avenue  Moline, IL 61265","1640 6th Avenue Moline, IL 61265",1640 6th Avenue,,Moline,IL,61265,ROOFTOP,41.5055342,-90.51331990000001,"1640 6th Ave, Moline, IL 61265, USA"
6845,Momence Police Department,Street Address,"123 West River  Momence, IL 60954","123 West River Momence, IL 60954",123 West River,,Momence,IL,60954,ROOFTOP,41.1618012,-87.6637372,"123 W River St, Momence, IL 60954, USA"
6846,Monee Police Department,Street Address,"5357 West Main  Monee, IL 60449","5357 West Main Monee, IL 60449",5357 West Main,,Monee,IL,60449,RANGE_INTERPOLATED,41.4188052,-87.742145,"5357 W Main St, Monee, IL 60449, USA"
6847,Monmouth Department Of Public Safety,Street Address,"600 S Main St  Monmouth, IL 61462","600 S Main St Monmouth, IL 61462",600 S Main St,,Monmouth,IL,61462,ROOFTOP,40.906714,-90.648906,"600 S Main St, Monmouth, IL 61462, USA"
6848,Monroe County Sheriff's Office,Street Address,"225 E 3Rd St  Waterloo, IL 62298","225 E 3Rd St Waterloo, IL 62298",225 E 3Rd St,,Waterloo,IL,62298,ROOFTOP,38.3358431,-90.14688579999999,"225 E 3rd St, Waterloo, IL 62298, USA"
6849,Montgomery County Sheriff's Office,Street Address,"140 N Main St  Hillsboro, IL 62049","140 N Main St Hillsboro, IL 62049",140 N Main St,,Hillsboro,IL,62049,RANGE_INTERPOLATED,39.1623855,-89.4934018,"140 N Main St, Hillsboro, IL 62049, USA"
6850,Montgomery Police Department,Street Address,"10 Civic Center Avenue  Montgomery, IL 60538","10 Civic Center Avenue Montgomery, IL 60538",10 Civic Center Avenue,,Montgomery,IL,60538,APPROXIMATE,41.723826,-88.38723209999999,"10 Civic Center Dr, Montgomery, IL 60538, USA"
6851,Monticello Police Department,Street Address,"301 N Hamilton StreetP. O. Box 436 Monticello, IL 61856","301 N Hamilton Street P. O. Box 436 Monticello, IL 61856",301 N Hamilton Street,P. O. Box 436,Monticello,IL,61856,RANGE_INTERPOLATED,40.026666,-88.56977289999999,"301 N Hamilton St, Monticello, IL 61856, USA"
6853,Morgan County Sheriff's Office,Street Address,"300 West Court St  Jacksonville, IL 62650","300 West Court St Jacksonville, IL 62650",300 West Court St,,Jacksonville,IL,62650,ROOFTOP,39.735245,-90.231865,"300 W Court St, Jacksonville, IL 62650, USA"
6854,Morris Police Department,Street Address,"215 W. Jefferson Street  Morris, IL 60450","215 W. Jefferson Street Morris, IL 60450",215 W. Jefferson Street,,Morris,IL,60450,RANGE_INTERPOLATED,41.3591538,-88.42519349999999,"215 W Jefferson St, Morris, IL 60450, USA"
6855,Morrison Police Department,Street Address,"200 West Main  Morrison, IL 61270","200 West Main Morrison, IL 61270",200 West Main,,Morrison,IL,61270,RANGE_INTERPOLATED,41.80963209999999,-89.9678697,"200 W Main St, Morrison, IL 61270, USA"
6856,Morrisonville Police Department,Street Address,"307 Se 6Th StP.O. Box 18 Morrisonville, IL 62546","307 Se 6Th St P.O. Box 18 Morrisonville, IL 62546",307 Se 6Th St,P.O. Box 18,Morrisonville,IL,62546,ROOFTOP,39.420009,-89.455,"307 SE 6th St, Morrisonville, IL 62546, USA"
6859,Morton Grove Police Department,Street Address,"6101 Capulina Ave  Morton Grove, IL 60053","6101 Capulina Ave Morton Grove, IL 60053",6101 Capulina Ave,,Morton Grove,IL,60053,ROOFTOP,42.03789580000001,-87.7791362,"6101 Capulina Ave, Morton Grove, IL 60053, USA"
6860,Morton Police Department,Street Address,"375 W. Birchwood St.  Morton, IL 61550","375 W. Birchwood St. Morton, IL 61550",375 W. Birchwood St.,,Morton,IL,61550,ROOFTOP,40.6057675,-89.47266019999999,"375 W Birchwood St, Morton, IL 61550, USA"
6861,Moultrie County Sheriff's Office,Street Address,"1505 West Hagerman Rd  Sullivan, IL 61951","1505 West Hagerman Rd Sullivan, IL 61951",1505 West Hagerman Rd,,Sullivan,IL,61951,ROOFTOP,39.6076486,-88.6306039,"1505 W Hagerman St, Sullivan, IL 61951, USA"
6862,Mound City Police Department,Street Address,"204 Main Street  Mound City, IL 62963","204 Main Street Mound City, IL 62963",204 Main Street,,Mound City,IL,62963,ROOFTOP,37.0839321,-89.1636185,"204 Main St, Mound City, IL 62963, USA"
6863,Mounds Police Department,Street Address,"225 First Street  Mounds, IL 62964","225 First Street Mounds, IL 62964",225 First Street,,Mounds,IL,62964,RANGE_INTERPOLATED,37.114345,-89.2005537,"225 1st St, Mounds, IL 62964, USA"
6864,Mount Carmel Police Department,Street Address,"120 E 4Th St  Mount Carmel, IL 62863","120 E 4Th St Mount Carmel, IL 62863",120 E 4Th St,,Mount Carmel,IL,62863,RANGE_INTERPOLATED,38.4096527,-87.76062639999999,"120 E 4th St, Mt Carmel, IL 62863, USA"
6868,Mount Prospect Police Department,Street Address,"112 East Northwest Highway  Mount Prospect, IL 60056","112 East Northwest Highway Mount Prospect, IL 60056",112 East Northwest Highway,,Mount Prospect,IL,60056,ROOFTOP,42.0630078,-87.934311,"112 Northwest Hwy, Mt Prospect, IL 60056, USA"
6871,Mount Vernon Police Department,Street Address,"211 North 10Th Street  Mount Vernon, IL 62864","211 North 10Th Street Mount Vernon, IL 62864",211 North 10Th Street,,Mount Vernon,IL,62864,ROOFTOP,38.3192149,-88.90422439999999,"211 N 10th St, Mt Vernon, IL 62864, USA"
6872,Mount Zion Police Department,Review Parsed Data,"P.O. Box 49410 W Main Street Mount Zion, IL 62549","P.O. Box 49410 W Main Street Mount Zion, IL 62549",W Main Street,P.O. Box 49410,Mount Zion,IL,62549,GEOMETRIC_CENTER,39.774898,-88.8810872,"W Main St, Mt Zion, IL 62549, USA"
6874,Mundelein Police Department,Street Address,"221 N. Lake Street  Mundelein, IL 60060","221 N. Lake Street Mundelein, IL 60060",221 N. Lake Street,,Mundelein,IL,60060,ROOFTOP,42.2669204,-88.0034056,"221 N Lake St, Mundelein, IL 60060, USA"
6875,Murphysboro Police Department,Street Address,"202 North 11Th Street  Murphysboro, IL 62966","202 North 11Th Street Murphysboro, IL 62966",202 North 11Th Street,,Murphysboro,IL,62966,ROOFTOP,37.7657829,-89.334883,"202 N 11th St, Murphysboro, IL 62966, USA"
6876,Naperville Police Department,Street Address,"1350 W. Aurora Avenue  Naperville, IL 60540","1350 W. Aurora Avenue Naperville, IL 60540",1350 W. Aurora Avenue,,Naperville,IL,60540,ROOFTOP,41.7646067,-88.1769151,"1350 Aurora Ave, Naperville, IL 60540, USA"
6877,Nashville Police Department,Street Address,"875 South Mill875 SOUTH MILL Nashville, IL 62263","875 South Mill875 SOUTH MILL Nashville, IL 62263",875 South Mill875 SOUTH,,MILL Nashville,IL,62263,APPROXIMATE,38.33760669999999,-89.38114399999999,"875 S Mill St, Nashville, IL 62263, USA"
6878,Nauvoo Police Department,PO Box,"P. O. Box 85  Nauvoo, IL 62354","P. O. Box 85 Nauvoo, IL 62354",,P. O. Box 85,Nauvoo,IL,62354,APPROXIMATE,40.550042,-91.3848749,"Nauvoo, IL 62354, USA"
6879,Neoga Police Department,Street Address,"533 S. ChestnutP. O. Box 248 Neoga, IL 62447","533 S. Chestnut P. O. Box 248 Neoga, IL 62447",533 S. Chestnut,P. O. Box 248,Neoga,IL,62447,RANGE_INTERPOLATED,39.3187386,-88.4536911,"533 Chestnut Ave, Neoga, IL 62447, USA"
6880,New Athens Police Department,Street Address,"905 Spotsylvania  New Athens, IL 62264","905 Spotsylvania New Athens, IL 62264",905 Spotsylvania,,New Athens,IL,62264,ROOFTOP,38.317827,-89.87174,"905 Spotsylvania St, New Athens, IL 62264, USA"
6881,New Baden Police Department,Street Address,"100 East Hanover  New Baden, IL 62265","100 East Hanover New Baden, IL 62265",100 East Hanover,,New Baden,IL,62265,ROOFTOP,38.5353915,-89.69906089999999,"100 E Hanover St, New Baden, IL 62265, USA"
