Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Marshall Police Dept,TX,12,24109,146,2,10,13,121,934,299,587,48,605.6,8.3,41.5,53.9,501.9,3874.1,1240.2,2434.8,199.1
Maverick County Sheriff Department,TX,12,,114,3,4,1,106,623,274,328,21,,,,,,,,,
Mcallen Police Dept,TX,12,135745,166,1,3,56,106,5465,503,4751,211,122.3,0.7,2.2,41.3,78.1,4025.9,370.5,3499.9,155.4
Mckinney Police Dept,TX,12,138105,229,0,54,58,117,2786,492,2190,104,165.8,0,39.1,42,84.7,2017.3,356.3,1585.7,75.3
Mclennan County Sheriff Department,TX,12,,80,0,21,4,55,717,287,387,43,,,,,,,,,
Medina County Sheriff Department,TX,12,,28,0,10,2,16,202,74,120,8,,,,,,,,,
The Village Police Dept,TX,12,11540,3,0,0,2,1,94,16,75,3,26,0,0,17.3,8.7,814.6,138.6,649.9,26
Mercedes Police Dept,TX,12,16417,108,0,10,17,81,879,168,672,39,657.9,0,60.9,103.6,493.4,5354.2,1023.3,4093.3,237.6
Mesquite Police Dept,TX,12,144811,442,2,14,183,243,6285,1568,4030,687,305.2,1.4,9.7,126.4,167.8,4340.1,1082.8,2782.9,474.4
Midland County Sheriff Office,TX,12,,37,1,0,0,36,560,127,359,74,,,,,,,,,
Midland Police Dept,TX,12,115637,398,4,21,52,321,3008,559,2313,136,344.2,3.5,18.2,45,277.6,2601.2,483.4,2000.2,117.6
Midlothian Police Dept,TX,12,18693,17,0,3,1,13,307,54,246,7,90.9,0,16,5.3,69.5,1642.3,288.9,1316,37.4
